"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.497381047E2,2.237999916E1,3.150000000E1,-5.975999832E1
1.499892948E2,2.226000023E1,3.192000008E1,-5.934000015E1
1.502405155E2,2.184000015E1,3.185999870E1,-6.059999847E1
1.504914616E2,2.147999954E1,3.197999954E1,-6.047999954E1
1.507427738E2,2.087999916E1,3.167999840E1,-5.975999832E1
1.509940556E2,2.202000046E1,3.185999870E1,-6.059999847E1
1.512452763E2,2.105999947E1,3.185999870E1,-6.041999817E1
1.514964665E2,2.171999931E1,3.173999977E1,-6.059999847E1
1.517476567E2,2.142000008E1,3.209999847E1,-5.975999832E1
1.519987553E2,2.213999939E1,3.221999741E1,-6.059999847E1
1.522499455E2,2.184000015E1,3.185999870E1,-5.952000046E1
1.525011051E2,2.147999954E1,3.167999840E1,-6.059999847E1
1.527523564E2,2.111999893E1,3.221999741E1,-6.018000031E1
1.530035465E2,2.118000031E1,3.161999893E1,-5.993999863E1
1.532548283E2,2.165999985E1,3.167999840E1,-6.047999954E1
1.535061405E2,2.219999886E1,3.257999802E1,-6.011999893E1
1.537574528E2,2.147999954E1,3.150000000E1,-6.059999847E1
1.540084294E2,2.142000008E1,3.192000008E1,-6.023999786E1
1.542594364E2,2.202000046E1,3.173999977E1,-5.987999725E1
1.545105046E2,2.142000008E1,3.161999893E1,-5.987999725E1
1.547617863E2,2.207999992E1,3.131999969E1,-5.963999939E1
1.550129154E2,2.189999962E1,3.215999985E1,-6.029999924E1
1.552639530E2,2.093999863E1,3.095999908E1,-5.975999832E1
1.555153568E2,2.129999924E1,3.179999924E1,-5.850000000E1
1.557663029E2,2.195999908E1,3.179999924E1,-6.023999786E1
1.560174626E2,2.177999878E1,3.209999847E1,-5.975999832E1
1.562686222E2,2.231999969E1,3.131999969E1,-6.059999847E1
1.565199040E2,2.202000046E1,3.263999939E1,-5.975999832E1
1.567710331E2,2.160000038E1,3.113999939E1,-6.018000031E1
1.570224064E2,2.165999985E1,3.089999962E1,-5.909999847E1
1.572735050E2,2.129999924E1,3.143999863E1,-5.921999741E1
1.575246037E2,2.213999939E1,3.150000000E1,-5.915999985E1
1.577757939E2,2.147999954E1,3.234000015E1,-5.993999863E1
1.580267704E2,2.135999870E1,3.137999916E1,-6.053999710E1
1.582778691E2,2.142000008E1,3.252000046E1,-5.981999969E1
1.585289677E2,2.129999924E1,3.215999985E1,-6.035999680E1
1.587799748E2,2.202000046E1,3.179999924E1,-5.957999802E1
1.590311955E2,2.123999977E1,3.185999870E1,-6.102000046E1
1.592822636E2,2.160000038E1,3.126000023E1,-5.993999863E1
1.595334538E2,2.118000031E1,3.167999840E1,-6.005999756E1
1.597846745E2,2.129999924E1,3.126000023E1,-6.000000000E1
1.600358647E2,2.189999962E1,3.245999908E1,-6.041999817E1
1.602871159E2,2.153999901E1,3.192000008E1,-6.018000031E1
1.605382450E2,2.184000015E1,3.215999985E1,-6.023999786E1
1.607896183E2,2.261999893E1,3.185999870E1,-6.053999710E1
1.610406864E2,2.129999924E1,3.215999985E1,-5.969999695E1
1.612918461E2,2.135999870E1,3.227999878E1,-5.909999847E1
1.615430058E2,2.195999908E1,3.150000000E1,-5.903999710E1
1.617940129E2,2.160000038E1,3.245999908E1,-6.029999924E1
1.620452946E2,2.184000015E1,3.215999985E1,-5.969999695E1
1.622964543E2,2.207999992E1,3.192000008E1,-5.927999878E1
1.625476750E2,2.213999939E1,3.131999969E1,-5.897999954E1
1.627987431E2,2.177999878E1,3.221999741E1,-5.975999832E1
1.630498417E2,2.171999931E1,3.167999840E1,-5.952000046E1
1.633009403E2,2.123999977E1,3.173999977E1,-5.981999969E1
1.635521000E2,2.195999908E1,3.131999969E1,-5.939999771E1
1.638033512E2,2.039999962E1,3.179999924E1,-5.969999695E1
1.640546635E2,2.093999863E1,3.150000000E1,-6.029999924E1
1.643057926E2,2.165999985E1,3.137999916E1,-6.018000031E1
1.645569828E2,2.153999901E1,3.221999741E1,-6.084000015E1
1.648082035E2,2.171999931E1,3.131999969E1,-5.987999725E1
1.650595768E2,2.207999992E1,3.167999840E1,-5.981999969E1
1.653106449E2,2.100000000E1,3.209999847E1,-5.981999969E1
1.655615910E2,2.142000008E1,3.119999886E1,-6.018000031E1
1.658125084E2,2.100000000E1,3.215999985E1,-6.023999786E1
1.660636986E2,2.231999969E1,3.167999840E1,-6.041999817E1
1.663148278E2,2.147999954E1,3.161999893E1,-6.000000000E1
1.665659569E2,2.250000000E1,3.227999878E1,-6.023999786E1
1.668169945E2,2.226000023E1,3.192000008E1,-6.107999802E1
1.670681542E2,2.207999992E1,3.161999893E1,-5.987999725E1
1.673195275E2,2.237999916E1,3.227999878E1,-6.065999985E1
1.675705651E2,2.118000031E1,3.275999832E1,-5.993999863E1
1.678217247E2,2.135999870E1,3.150000000E1,-5.993999863E1
1.680728844E2,2.129999924E1,3.407999802E1,-6.053999710E1
1.683241967E2,2.243999863E1,3.197999954E1,-6.089999771E1
1.685752953E2,2.184000015E1,3.204000092E1,-5.975999832E1
1.688265770E2,2.123999977E1,3.173999977E1,-6.000000000E1
1.690777672E2,2.153999901E1,3.150000000E1,-5.945999908E1
1.693289269E2,2.255999947E1,3.197999954E1,-5.915999985E1
1.695801476E2,2.153999901E1,3.197999954E1,-5.885999680E1
1.698312462E2,2.142000008E1,3.204000092E1,-6.011999893E1
1.700823143E2,2.177999878E1,3.179999924E1,-6.053999710E1
1.703334130E2,2.147999954E1,3.173999977E1,-6.041999817E1
1.705846337E2,2.184000015E1,3.161999893E1,-6.059999847E1
1.708359154E2,2.160000038E1,3.155999947E1,-5.969999695E1
1.710871972E2,2.093999863E1,3.119999886E1,-6.053999710E1
1.713383568E2,2.177999878E1,3.221999741E1,-5.969999695E1
1.715894249E2,2.165999985E1,3.185999870E1,-5.975999832E1
1.718404931E2,2.100000000E1,3.126000023E1,-5.975999832E1
1.720916527E2,2.153999901E1,3.305999756E1,-6.035999680E1
1.723428734E2,2.184000015E1,3.227999878E1,-6.071999741E1
1.725939415E2,2.171999931E1,3.185999870E1,-6.029999924E1
1.728451317E2,2.160000038E1,3.179999924E1,-5.969999695E1
1.730962304E2,2.147999954E1,3.155999947E1,-6.035999680E1
1.733472374E2,2.268000031E1,3.192000008E1,-5.987999725E1
1.735984581E2,2.315999985E1,3.227999878E1,-5.981999969E1
1.738494652E2,2.202000046E1,3.221999741E1,-6.018000031E1
1.741006554E2,2.184000015E1,3.239999771E1,-5.975999832E1
1.743517235E2,2.226000023E1,3.252000046E1,-6.005999756E1
1.746029747E2,2.135999870E1,3.192000008E1,-6.035999680E1
1.748539208E2,2.153999901E1,3.234000015E1,-6.065999985E1
1.751051110E2,2.231999969E1,3.192000008E1,-6.035999680E1
1.753563317E2,2.171999931E1,3.197999954E1,-6.000000000E1
1.756073388E2,2.184000015E1,3.179999924E1,-5.993999863E1
1.758585289E2,2.100000000E1,3.143999863E1,-6.011999893E1
1.761096276E2,2.118000031E1,3.227999878E1,-6.018000031E1
1.763608178E2,2.177999878E1,3.215999985E1,-5.963999939E1
1.766120995E2,2.153999901E1,3.234000015E1,-6.023999786E1
1.768631371E2,2.129999924E1,3.126000023E1,-5.952000046E1
1.771142052E2,2.081999969E1,3.143999863E1,-6.053999710E1
1.773652733E2,2.207999992E1,3.185999870E1,-6.029999924E1
1.776162804E2,2.213999939E1,3.197999954E1,-5.934000015E1
1.778672265E2,2.147999954E1,3.179999924E1,-5.945999908E1
1.781183251E2,2.250000000E1,3.185999870E1,-5.969999695E1
1.783693932E2,2.184000015E1,3.204000092E1,-5.963999939E1
1.786205529E2,2.160000038E1,3.137999916E1,-6.000000000E1
1.788715905E2,2.219999886E1,3.179999924E1,-6.011999893E1
1.791227807E2,2.195999908E1,3.257999802E1,-6.035999680E1
1.793739098E2,2.195999908E1,3.155999947E1,-5.993999863E1
1.796249169E2,2.063999939E1,3.234000015E1,-5.915999985E1
1.798760765E2,2.177999878E1,3.204000092E1,-5.909999847E1
1.801272973E2,2.076000023E1,3.179999924E1,-6.047999954E1
1.803785790E2,2.195999908E1,3.126000023E1,-6.041999817E1
